,ID,Year_Birth,Country,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Complain
96,8601,1980,AUS,Graduation,Married,"$80,011.00 ",0,1,4/29/13,3,421,76,536,82,178,102,2,8,5,4,0
97,4827,1956,SP,PhD,Single,"$54,998.00 ",0,1,3/10/13,3,154,22,202,39,30,8,5,4,9,4,0
98,6715,1948,SP,PhD,Single,"$60,200.00 ",0,1,1/2/13,3,502,19,132,0,6,26,6,6,11,6,0
99,10676,1982,SP,Graduation,Married,"$63,211.00 ",0,0,11/2/12,3,145,193,459,205,26,145,2,3,7,2,0
100,1041,1973,SA,PhD,Single,"$48,432.00 ",0,1,10/18/12,3,322,3,50,4,3,42,5,7,6,8,0
101,492,1973,CA,PhD,YOLO,"$48,432.00 ",0,1,10/18/12,3,322,3,50,4,3,42,5,7,6,8,0
102,11133,1973,IND,PhD,YOLO,"$48,432.00 ",0,1,10/18/12,3,322,3,50,4,3,42,5,7,6,8,0
103,4491,1949,SP,Master,Married,"$62,845.00 ",1,1,10/1/12,3,1099,0,45,0,0,34,11,3,10,8,0
104,873,1949,SP,Master,Married,"$62,845.00 ",1,1,10/1/12,3,1099,0,45,0,0,34,11,3,10,8,0
105,1631,1965,GER,PhD,Together,"$65,220.00 ",0,0,9/3/12,3,890,63,292,0,25,12,4,8,7,6,0
106,8278,1990,SP,PhD,Married,"$74,214.00 ",0,0,8/26/12,3,863,83,547,86,99,33,1,8,5,5,0
107,6815,1980,SP,2n Cycle,Married,"$96,547.00 ",0,0,5/23/14,4,448,21,125,52,101,62,0,7,8,2,0
108,254,1955,SP,Graduation,Together,"$53,863.00 ",0,1,5/17/14,4,399,4,30,6,4,30,3,7,7,7,0
110,2534,1953,AUS,Graduation,Married,"$37,716.00 ",0,1,4/21/14,4,97,1,41,6,2,41,2,4,3,7,0
112,2296,1975,SP,Master,Married,"$37,368.00 ",1,0,12/16/13,4,3,2,11,2,2,10,1,1,2,6,0
113,3799,1955,US,Graduation,Married,"$67,225.00 ",0,1,11/26/13,4,315,35,322,46,7,143,3,7,11,5,0
114,11084,1976,CA,Master,Together,"$65,104.00 ",0,1,11/14/13,4,738,0,232,13,20,50,2,3,7,7,0
115,5172,1976,SP,Master,Together,"$65,104.00 ",0,1,11/14/13,4,738,0,232,13,20,50,2,3,7,7,0
116,9504,1949,SP,Master,Married,"$81,698.00 ",0,0,11/6/13,4,179,28,520,111,123,47,1,3,13,1,0
117,850,1968,SP,Graduation,Single,"$70,566.00 ",0,1,10/6/13,4,381,28,215,84,28,21,2,6,9,3,0
118,4477,1958,GER,Graduation,Together,"$69,096.00 ",0,1,9/27/13,4,247,49,159,7,82,109,1,5,10,4,0
119,1945,1962,SP,Graduation,Married,"$71,434.00 ",0,1,9/18/13,4,711,36,217,172,96,168,3,7,7,4,0
120,7685,1978,SP,Graduation,Married,"$33,039.00 ",1,0,9/9/13,4,30,8,12,8,8,12,1,2,4,5,0
121,6310,1978,CA,Graduation,Married,"$33,039.00 ",1,0,9/9/13,4,30,8,12,8,8,12,1,2,4,5,0
122,10832,1958,SP,Graduation,Together,"$46,610.00 ",0,0,7/18/13,4,288,10,30,4,10,125,1,6,6,6,0
123,3025,1958,CA,Graduation,Single,"$49,967.00 ",0,1,7/8/13,4,212,6,69,4,12,3,3,6,5,7,0
124,2404,1976,US,Graduation,Married,"$53,359.00 ",1,1,5/27/13,4,173,4,30,3,6,41,4,5,4,7,0
125,8581,1971,SP,Master,Married,"$49,505.00 ",1,1,3/5/13,4,604,0,100,19,0,28,9,10,8,8,0
126,8755,1946,AUS,Master,Married,"$68,657.00 ",0,0,2/20/13,4,482,34,471,119,68,22,1,3,9,7,0
127,10177,1954,SP,Graduation,Divorced,"$72,071.00 ",0,1,2/14/13,4,531,69,300,150,138,150,3,5,8,2,0
128,2429,1954,CA,Graduation,Divorced,"$72,071.00 ",0,1,2/14/13,4,531,69,300,150,138,150,3,5,8,2,0
129,8920,1967,IND,Master,Single,"$59,235.00 ",1,0,1/12/13,4,448,40,469,80,0,91,3,11,12,7,0
130,8430,1957,AUS,Graduation,Together,"$21,994.00 ",0,1,12/24/12,4,9,0,6,3,1,3,1,0,3,5,0
131,8619,1957,SP,Graduation,Together,"$21,994.00 ",0,1,12/24/12,4,9,0,6,3,1,3,1,0,3,5,0
133,7233,1972,CA,Graduation,Married,"$69,209.00 ",0,0,9/17/12,4,496,32,849,229,48,128,2,5,6,4,0
134,6678,1989,IND,Graduation,Together,"$31,928.00 ",1,0,3/28/14,5,33,4,24,4,2,5,2,3,4,7,0
135,830,1987,IND,PhD,Single,"$74,004.00 ",0,0,2/24/14,5,784,48,560,42,176,48,1,4,4,3,0
136,6365,1987,IND,2n Cycle,Married,"$30,390.00 ",0,0,9/2/13,5,10,12,12,25,1,20,1,2,3,6,0
137,6770,1985,US,Graduation,Married,"$21,355.00 ",1,0,8/20/13,5,5,13,14,0,5,31,2,2,2,6,0
138,2261,1969,GER,Graduation,Married,"$26,304.00 ",1,0,6/23/13,5,4,1,5,2,0,4,1,1,2,7,0
139,1031,1989,IND,2n Cycle,Married,"$85,710.00 ",0,0,5/5/13,5,600,20,350,29,30,33,1,6,10,2,0
140,10089,1974,SA,Graduation,Divorced,"$102,692.00 ",0,0,4/5/13,5,168,148,444,32,172,148,1,6,13,2,0
141,9256,1971,SP,Graduation,Single,"$58,350.00 ",0,1,1/4/13,5,493,26,206,116,80,80,4,8,12,6,0
142,10641,1978,SP,Graduation,Single,"$7,500.00 ",1,1,12/27/12,5,6,5,4,13,4,25,4,2,3,6,0
143,624,1984,SA,Master,Single,"$18,890.00 ",0,0,11/10/12,5,6,4,1,7,2,15,1,0,2,6,0
144,4211,1986,CA,Basic,Married,"$20,425.00 ",1,0,10/29/12,5,4,12,5,3,16,17,2,2,3,7,0
145,1407,1986,GER,Basic,Married,"$20,425.00 ",1,0,10/29/12,5,4,12,5,3,16,17,2,2,3,7,0
146,10356,1957,SP,PhD,Divorced,"$41,437.00 ",1,1,9/22/12,5,29,0,2,0,0,1,1,1,3,7,0
147,9323,1949,ME,Master,Together,"$49,912.00 ",0,1,9/7/12,5,520,8,223,32,49,42,4,10,7,8,0
148,1146,1949,AUS,Master,Together,"$49,912.00 ",0,1,9/7/12,5,520,8,223,32,49,42,4,10,7,8,0
149,6343,1959,AUS,Graduation,Married,"$79,823.00 ",0,1,3/31/14,6,835,73,380,114,73,43,1,6,7,2,0
150,8545,1954,SP,Graduation,Divorced,"$85,683.00 ",0,0,3/21/14,6,1296,17,311,45,69,51,1,2,10,1,0
151,8275,1965,SP,PhD,Divorced,"$47,025.00 ",1,1,2/9/14,6,16,0,3,0,0,1,1,1,2,7,0
152,10673,1976,SA,PhD,Married,"$68,397.00 ",0,1,11/17/13,6,760,80,466,17,13,80,1,6,5,3,0
153,8799,1984,SP,PhD,Married,"$38,175.00 ",1,0,9/23/13,6,70,6,69,2,3,3,3,3,4,7,0
154,67,1972,SP,Master,Single,"$46,423.00 ",1,1,9/18/13,6,68,0,16,0,0,8,3,2,4,7,0
155,9923,1972,SP,Master,Single,"$46,423.00 ",1,1,9/18/13,6,68,0,16,0,0,8,3,2,4,7,0
156,2814,1976,SA,Master,Together,"$30,560.00 ",1,0,6/27/13,6,9,1,5,4,5,7,1,1,3,7,0
157,2711,1976,CA,Master,Together,"$30,560.00 ",1,0,6/27/13,6,9,1,5,4,5,7,1,1,3,7,0
158,4320,1979,SP,Graduation,Single,"$60,152.00 ",0,1,3/28/13,6,325,83,300,86,58,91,1,6,12,3,0
159,10451,1965,SA,Graduation,Together,"$29,672.00 ",1,1,3/12/13,6,9,1,3,0,4,8,1,0,3,6,0
160,4198,1965,SP,Graduation,Together,"$29,672.00 ",1,1,3/12/13,6,9,1,3,0,4,8,1,0,3,6,0
161,10814,1947,SP,Graduation,Together,"$70,321.00 ",0,0,1/16/13,6,303,23,751,82,26,191,1,6,13,4,0
162,944,1962,SP,Graduation,Married,"$56,181.00 ",0,1,1/8/13,6,121,103,69,8,44,48,1,4,7,4,0
163,8151,1990,SP,Basic,Married,"$24,279.00 ",0,0,12/29/12,6,16,36,21,20,62,108,1,4,3,8,0
164,6184,1969,SP,PhD,Married,"$68,462.00 ",0,0,12/12/12,6,561,64,785,84,128,48,1,3,8,1,0
165,3498,1976,SP,PhD,Married,"$55,424.00 ",0,1,11/25/12,6,462,61,184,10,53,107,4,7,9,6,0
166,2870,1973,SP,Graduation,Married,"$49,094.00 ",0,1,9/21/12,6,376,0,38,11,8,69,5,6,6,6,0
167,7342,1961,SP,2n Cycle,Widow,"$59,184.00 ",0,1,9/9/12,6,341,142,113,259,151,66,3,6,12,5,0
168,1911,1987,GER,Graduation,Together,"$67,430.00 ",0,0,9/5/12,6,595,97,291,127,133,121,1,11,12,6,0
169,10862,1960,SP,Master,Married,"$30,522.00 ",0,1,8/17/12,6,179,8,83,19,11,26,5,1,9,2,0
170,2546,1977,SP,2n Cycle,Single,"$31,878.00 ",0,1,6/22/14,7,23,4,5,10,5,23,1,1,4,3,0
171,3005,1992,SP,Graduation,Single,"$83,528.00 ",0,0,5/1/14,7,530,117,678,134,44,147,1,4,8,1,0
172,8318,1979,SP,Graduation,Together,"$90,300.00 ",0,0,1/3/14,7,594,134,786,33,134,57,0,5,8,1,0
173,2930,1978,SA,Master,Single,"$68,092.00 ",0,0,12/16/13,7,852,60,207,78,36,48,2,2,10,5,0
174,8216,1972,AUS,Master,Married,"$53,761.00 ",1,1,10/11/13,7,158,0,76,13,7,71,6,4,3,5,0
175,1212,1973,SP,Graduation,Married,"$52,845.00 ",1,0,8/13/13,7,384,25,292,130,41,64,3,8,6,6,0
176,2541,1976,SP,Graduation,Married,"$24,027.00 ",1,0,6/9/13,7,14,7,11,11,0,5,2,2,3,8,0
177,10659,1979,IND,2n Cycle,Together,"$7,500.00 ",1,0,5/7/13,7,2,8,11,3,8,21,4,3,2,7,0
178,10905,1955,SP,Graduation,Together,"$42,586.00 ",1,1,10/29/12,7,194,2,56,0,0,0,5,4,6,8,0
179,8910,1955,SP,Graduation,Together,"$42,586.00 ",1,1,10/29/12,7,194,2,56,0,0,0,5,4,6,8,0
180,7349,1973,SP,Basic,Together,"$9,722.00 ",1,0,10/2/12,7,6,17,16,6,16,42,4,3,3,8,0
181,7872,1975,SP,PhD,Married,"$86,836.00 ",0,0,9/12/12,7,179,21,273,0,21,63,1,6,6,5,0
182,4290,1972,CA,Graduation,Married,"$30,467.00 ",1,0,3/19/14,8,1,3,8,2,5,5,1,1,2,7,0
183,7408,1952,SA,PhD,Married,"$54,549.00 ",0,1,3/3/14,8,216,2,6,0,0,9,2,5,4,7,0
184,9986,1982,SA,Graduation,Together,"$19,444.00 ",1,0,2/22/14,8,16,0,23,3,2,10,3,4,2,7,0
185,8235,1956,SA,Master,Together,"$69,245.00 ",0,1,1/24/14,8,428,30,214,80,30,61,2,6,10,3,0
186,10949,1963,SP,PhD,Divorced,"$72,968.00 ",0,0,12/16/13,8,1092,37,592,145,37,55,1,5,8,3,0
187,9529,1990,SA,Graduation,Married,"$73,687.00 ",0,0,11/28/13,8,559,153,503,218,13,181,1,3,9,2,0
188,9930,1944,CA,PhD,Single,"$82,716.00 ",0,0,11/5/13,8,606,148,228,15,148,22,1,6,13,2,0
189,10270,1981,GER,2n Cycle,Married,"$35,523.00 ",1,0,10/3/13,8,11,5,22,12,5,11,2,3,3,7,0
190,760,1975,SA,PhD,Divorced,"$60,554.00 ",1,0,8/9/13,8,588,7,76,110,15,15,2,8,9,6,0
191,5519,1956,SA,Graduation,Together,"$64,090.00 ",0,1,8/7/13,8,316,58,161,76,51,135,1,6,4,5,0
192,232,1965,SP,Graduation,Single,"$61,559.00 ",0,1,7/17/13,8,279,83,88,32,14,34,1,4,10,3,0
193,3009,1962,SP,PhD,Widow,"$71,670.00 ",0,0,7/9/13,8,1462,16,128,0,0,160,1,5,6,6,0
194,6518,1951,AUS,PhD,Widow,"$67,680.00 ",0,1,6/11/13,8,546,0,48,0,6,6,1,7,8,5,0
195,10669,1981,SP,Graduation,Married,"$54,386.00 ",0,1,5/17/13,8,277,21,64,62,21,25,2,3,10,3,0
196,5682,1953,AUS,PhD,Single,"$64,108.00 ",0,1,3/23/13,8,948,10,86,13,21,21,4,6,11,5,0
197,1570,1951,SP,PhD,Together,"$69,702.00 ",0,1,2/19/13,8,664,9,240,50,19,57,2,7,10,4,0
198,1497,1952,SA,Graduation,Single,"$47,958.00 ",0,1,1/19/13,8,268,11,88,15,3,22,2,6,5,5,0
199,9723,1960,CA,Graduation,Married,"$67,716.00 ",0,1,1/10/13,8,530,142,217,62,9,56,4,7,13,5,0
200,7261,1971,SP,Graduation,Together,"$34,600.00 ",1,1,1/1/13,8,199,33,60,8,3,15,5,5,5,8,0
201,2452,1971,SP,Graduation,Together,"$34,600.00 ",1,1,1/1/13,8,199,33,60,8,3,15,5,5,5,8,0
202,5621,1969,SP,Graduation,Married,"$48,752.00 ",1,1,12/12/12,8,73,57,100,71,15,0,5,6,5,9,0
203,10995,1988,SA,2n Cycle,Married,"$15,716.00 ",1,0,11/12/12,8,16,5,30,8,7,26,3,3,4,8,1
204,5331,1977,GER,Graduation,Married,"$74,985.00 ",0,0,9/11/12,8,587,51,898,247,0,86,1,3,7,2,0
205,263,1945,SP,PhD,Single,"$45,576.00 ",0,0,5/28/14,9,56,19,29,2,14,25,1,3,3,8,0
206,4619,1945,SP,PhD,Single,"$113,734.00 ",0,0,5/28/14,9,6,2,3,1,262,3,0,27,0,1,0
207,940,1987,SA,Graduation,Single,"$57,100.00 ",1,0,5/18/14,9,158,11,99,15,11,17,2,3,7,3,0
209,6019,1971,SP,PhD,Married,"$37,126.00 ",1,0,3/30/14,9,45,3,9,4,4,7,1,1,2,6,0
210,1463,1958,AUS,Graduation,Single,"$45,160.00 ",1,1,3/29/14,9,8,2,5,3,0,3,1,1,2,7,0
211,6424,1977,SP,Graduation,Together,"$33,178.00 ",1,0,1/30/14,9,12,6,2,11,2,16,1,1,3,4,0
212,8233,1950,CA,Master,Widow,"$64,866.00 ",0,1,1/26/14,9,508,5,21,7,5,10,4,7,7,5,0
213,1515,1975,CA,Master,Together,"$34,176.00 ",0,1,1/22/14,9,11,2,7,4,2,2,1,1,3,3,0
214,10855,1968,SP,Master,Single,"$50,014.00 ",1,0,1/22/14,9,234,14,77,19,10,42,2,4,8,5,0
215,10909,1948,AUS,Graduation,Married,"$92,344.00 ",0,0,1/15/14,9,992,24,694,51,19,119,0,5,5,1,0
216,3376,1970,SP,Master,Divorced,"$55,282.00 ",1,0,12/13/13,9,125,6,73,8,4,19,1,3,6,4,0
217,10232,1963,SP,PhD,Divorced,"$48,799.00 ",0,1,11/5/13,9,174,18,81,28,6,24,3,3,7,3,0
218,5547,1982,SP,PhD,Married,"$84,169.00 ",0,0,8/7/13,9,1478,19,403,0,19,0,1,7,6,3,0
219,8362,1982,SA,PhD,Married,"$84,169.00 ",0,0,8/7/13,9,1478,19,403,0,19,0,1,7,6,3,0
220,3524,1971,SP,Master,Single,"$39,763.00 ",1,0,8/4/13,9,80,1,60,4,6,16,2,5,2,9,0
221,10095,1975,CA,PhD,Divorced,"$74,165.00 ",0,0,5/1/13,9,1001,12,240,16,12,12,1,5,10,2,0
222,8897,1965,GER,Graduation,Single,"$42,720.00 ",1,1,4/24/13,9,392,5,91,28,26,112,8,7,7,8,0
223,466,1944,SP,Graduation,Married,"$65,275.00 ",0,0,4/3/13,9,388,14,218,91,14,21,1,4,13,2,0
224,11025,1961,SP,Graduation,Married,"$36,443.00 ",1,1,2/3/13,9,65,0,46,4,3,20,4,3,3,8,0
225,2387,1952,SA,Master,Together,"$43,776.00 ",1,1,2/3/13,9,177,2,71,3,2,20,6,5,4,8,0
